Time,Step,Path Length,Visited,In Queue,Total Poses
0.0,1,0,1,0,2
0.0,2,1,9,7,10
0.0,3,1,14,11,15
0.0,4,1,15,11,16
0.0,5,1,19,14,20
0.0,6,1,20,14,21
0.0,7,1,21,14,22
0.0,8,1,25,17,26
0.0,9,1,26,17,27
0.1,10,2,29,19,30
0.1,11,2,34,23,35
0.1,12,2,36,24,37
0.1,13,2,40,27,41
0.1,14,2,41,27,42
0.1,15,2,43,28,44
0.2,16,2,48,32,49
0.2,17,2,51,34,52
0.2,18,2,57,39,58
0.2,19,2,58,39,59
0.2,20,2,60,40,61
0.3,21,2,63,42,64
0.3,22,2,67,45,68
0.3,23,2,69,46,70
0.3,24,2,74,50,75
0.4,25,2,77,52,78
0.4,26,2,81,55,82
0.4,27,2,86,59,87
0.5,28,2,88,60,89
0.5,29,2,91,62,92
0.5,30,3,96,66,97
0.6,31,3,101,70,102
0.6,32,3,103,71,104
0.7,33,3,107,74,108
0.7,34,3,108,74,109
0.7,35,3,110,75,111
0.7,36,3,115,79,116
0.8,37,3,116,79,117
0.8,38,3,119,81,120
0.8,39,3,122,83,123
0.9,40,3,123,83,124
0.9,41,3,125,84,126
0.9,42,3,129,87,130
1.0,43,3,130,87,131
1.0,44,3,135,91,136
1.1,45,3,136,91,137
1.1,46,3,139,93,140
1.2,47,3,140,93,141
1.2,48,3,141,93,142
1.2,49,3,142,93,143
1.3,50,3,143,93,144
1.3,51,3,143,92,144
1.4,52,3,145,93,146
1.4,53,3,150,97,151
1.5,54,3,151,97,152
1.5,55,3,155,100,156
1.5,56,3,155,99,156
1.6,57,3,155,98,156
1.6,58,3,155,97,156
1.6,59,3,155,96,156
1.7,60,3,156,96,157
1.7,61,3,156,95,157
1.8,62,3,156,94,157
1.8,63,3,156,93,157
1.9,64,3,158,94,159
1.9,65,3,158,93,159
1.9,66,3,158,92,159
2.0,67,3,159,92,160
2.0,68,3,160,92,161
2.1,69,3,164,95,165
2.2,70,3,164,94,165
2.2,71,3,167,96,168
2.3,72,3,168,96,169
2.4,73,3,170,97,171
2.4,74,3,171,97,172
2.5,75,3,175,100,176
2.5,76,3,175,99,176
2.5,77,3,175,98,176
2.6,78,3,180,102,181
2.7,79,3,182,103,183
2.7,80,3,183,103,184
2.8,81,3,186,105,187
2.9,82,3,189,107,190
3.0,83,3,190,107,191
3.0,84,3,191,107,192
3.1,85,3,192,107,193
3.1,86,3,195,109,196
3.2,87,3,196,109,197
3.2,88,3,197,109,198
3.3,89,3,197,108,198
3.4,90,3,197,107,198
3.4,91,3,198,107,199
3.5,92,3,198,106,199
3.6,93,3,198,105,199
3.6,94,3,199,105,200
3.7,95,3,203,108,204
3.8,96,3,204,108,205
3.9,97,4,205,108,206
3.9,98,4,206,108,207
4.0,99,4,208,109,209
4.1,100,4,212,112,213
4.1,101,4,212,111,213
4.1,102,4,212,110,213
4.2,103,4,217,114,218
4.2,104,4,217,113,218
4.3,105,4,220,115,221
4.4,106,4,223,117,224
4.4,107,4,224,117,225
4.5,108,4,225,117,226
4.5,109,4,227,118,228
4.6,110,4,227,117,228
4.6,111,4,230,119,231
4.7,112,4,231,119,232
4.7,113,4,234,121,235
4.8,114,4,236,122,237
4.8,115,4,237,122,238
4.9,116,4,238,122,239
4.9,117,4,238,121,239
5.0,118,4,239,121,240
5.1,119,4,239,120,240
5.1,120,4,239,119,240
5.2,121,4,242,121,243
5.2,122,4,243,121,244
5.3,123,4,243,120,244
5.3,124,4,243,119,244
5.4,125,4,243,118,244
5.4,126,4,243,117,244
5.5,127,4,243,116,244
5.5,128,4,243,115,244
5.5,129,4,245,116,246
5.6,130,4,245,115,246
5.6,131,4,245,114,246
5.6,132,4,245,113,246
5.7,133,4,245,112,246
5.7,134,4,247,113,248
5.8,135,4,248,113,249
5.8,136,4,248,112,249
5.9,137,4,251,114,252
6.0,138,4,256,118,257
6.1,139,4,257,118,258
6.1,140,4,261,121,262
6.2,141,4,261,120,262
6.2,142,4,261,119,262
6.3,143,4,261,118,262
6.3,144,4,261,117,262
6.4,145,4,261,116,262
6.5,146,4,262,116,263
6.5,147,4,264,117,265
6.6,148,4,265,117,266
6.7,149,4,267,118,268
6.8,150,4,268,118,269
6.8,151,4,268,117,269
6.9,152,4,273,121,274
7.0,153,4,275,122,276
7.0,154,4,276,122,277
7.1,155,4,276,121,277
7.2,156,4,277,121,278
7.2,157,4,277,120,278
7.3,158,4,279,121,280
7.4,159,4,279,120,280
7.5,160,4,279,119,280
7.5,161,4,280,119,281
7.6,162,4,282,120,283
7.7,163,4,283,120,284
7.8,164,4,283,119,284
7.9,165,4,283,118,284
7.9,166,4,286,120,287
8.0,167,4,286,119,287
8.0,168,4,286,118,287
8.1,169,4,287,118,288
8.2,170,4,289,119,290
8.3,171,4,290,119,291
8.3,172,4,295,123,296
8.4,173,4,295,122,296
8.5,174,4,295,121,296
8.6,175,4,298,123,299
8.6,176,4,301,125,302
8.7,177,4,302,125,303
8.8,178,4,303,125,304
8.8,179,4,304,125,305
8.9,180,4,307,127,308
9.0,181,4,309,128,310
9.1,182,4,309,127,310
9.2,183,4,309,126,310
9.2,184,4,309,125,310
9.3,185,4,309,124,310
9.3,186,4,310,124,311
9.4,187,4,310,123,311
9.5,188,4,310,122,311
9.6,189,4,313,124,314
9.7,190,4,314,124,315
9.7,191,4,314,123,315
9.8,192,4,316,124,317
9.9,193,4,319,126,320
10.0,194,4,324,130,325
10.1,195,4,325,130,326
10.2,196,4,329,133,330
10.2,197,4,329,132,330
10.3,198,4,329,131,330
10.4,199,4,329,130,330
10.4,200,4,329,129,330
10.5,201,4,329,128,330
10.6,202,4,331,129,332
10.7,203,4,333,130,334
10.8,204,4,335,131,336
10.9,205,4,339,134,340
10.9,206,5,340,134,341
11.0,207,5,343,136,344
11.1,208,5,343,135,344
11.2,209,5,347,138,348
11.4,210,5,349,139,350
11.4,211,5,352,141,353
11.5,212,5,352,140,353
11.6,213,5,353,140,354
11.7,214,5,354,140,355
11.8,215,5,357,142,358
11.9,216,5,359,143,360
12.0,217,5,360,143,361
12.0,218,5,360,142,361
12.1,219,5,361,142,362
12.2,220,5,362,142,363
12.3,221,5,362,141,363
12.4,222,5,365,143,366
12.5,223,5,366,143,367
12.5,224,5,367,143,368
12.6,225,5,367,142,368
12.7,226,5,367,141,368
12.8,227,5,369,142,370
12.8,228,5,369,141,370
12.9,229,5,371,142,372
13.0,230,5,372,142,373
13.1,231,5,372,141,373
13.2,232,5,375,143,376
13.3,233,5,379,146,380
13.5,234,5,380,146,381
13.6,235,5,384,149,385
13.6,236,5,385,149,386
13.7,237,5,385,148,386
13.8,238,5,385,147,386
13.9,239,5,386,147,387
14.0,240,5,386,146,387
14.1,241,5,387,146,388
14.2,242,5,388,146,389
14.3,243,5,390,147,391
14.4,244,5,391,147,392
14.5,245,5,393,148,394
14.6,246,5,393,147,394
14.7,247,5,395,148,396
14.8,248,5,396,148,397
14.9,249,5,396,147,397
15.0,250,5,396,146,397
15.1,251,5,396,145,397
15.3,252,5,396,144,397
15.4,253,5,398,145,399
15.5,254,5,399,145,400
15.6,255,5,401,146,402
15.7,256,5,401,145,402
15.8,257,5,401,144,402
15.9,258,5,406,148,407
16.1,259,5,407,148,408
16.2,260,5,408,148,409
16.3,261,5,409,148,410
16.4,262,5,409,147,410
16.4,263,5,409,146,410
16.5,264,5,410,146,411
16.6,265,5,410,145,411
16.7,266,5,413,147,414
16.9,267,5,416,149,417
17.0,268,5,419,151,420
17.1,269,5,419,150,420
17.2,270,5,420,150,421
17.3,271,5,423,152,424
17.4,272,5,423,151,424
17.5,273,5,423,150,424
17.6,274,5,423,149,424
17.7,275,5,423,148,424
17.8,276,5,423,147,424
17.9,277,5,426,149,427
18.0,278,5,426,148,427
18.1,279,5,428,149,429
18.2,280,5,429,149,430
18.3,281,5,429,148,430
18.5,282,5,432,150,433
18.6,283,5,433,150,434
18.7,284,5,433,149,434
18.8,285,5,435,150,436
18.9,286,5,436,150,437
19.0,287,5,436,149,437
19.1,288,5,438,150,439
19.2,289,5,440,151,441
19.3,290,5,441,151,442
19.5,291,5,444,153,445
19.6,292,5,444,152,445
19.7,293,5,445,152,446
19.8,294,5,446,152,447
19.9,295,5,449,154,450
20.0,296,5,451,155,452
20.1,297,5,451,154,452
20.2,298,5,451,153,452
20.3,299,5,451,152,452
20.5,300,5,451,151,452
20.6,301,5,454,153,455
20.7,302,5,455,153,456
20.8,303,5,455,152,456
20.9,304,5,455,151,456
21.0,305,5,458,153,459
21.2,306,5,462,156,463
21.3,307,5,463,156,464
21.4,308,5,467,159,468
21.5,309,5,467,158,468
21.6,310,5,467,157,468
21.7,311,5,467,156,468
21.8,312,5,468,156,469
21.9,313,5,469,156,470
22.1,314,5,471,157,472
22.2,315,5,471,156,472
22.3,316,5,474,158,475
22.4,317,5,475,158,476
22.5,318,5,475,157,476
22.6,319,5,475,156,476
22.7,320,5,475,155,476
22.8,321,5,475,154,476
22.9,322,5,475,153,476
23.1,323,5,477,154,478
23.2,324,5,478,154,479
23.4,325,5,480,155,481
23.5,326,5,485,159,486
23.6,327,5,485,158,486
23.7,328,5,486,158,487
23.9,329,5,487,158,488
23.9,330,5,487,157,488
24.0,331,5,487,156,488
24.2,332,5,488,156,489
24.2,333,5,488,155,489
24.4,334,5,491,157,492
24.6,335,5,494,159,495
24.7,336,5,496,160,497
24.8,337,5,496,159,497
24.9,338,5,497,159,498
25.1,339,5,499,160,500
25.2,340,5,499,159,500
25.3,341,6,499,158,500
25.4,342,6,500,158,501
25.6,343,6,502,159,503
25.7,344,6,504,160,505
25.9,345,6,506,161,507
26.0,346,6,508,162,509
26.1,347,6,510,163,511
26.3,348,6,510,162,511
26.4,349,6,510,161,511
26.5,350,6,510,160,511
26.7,351,6,512,161,513
26.8,352,6,514,162,515
26.9,353,6,514,161,515
27.0,354,6,514,160,515
27.1,355,6,517,162,518
27.3,356,6,520,164,521
27.4,357,6,522,165,523
27.6,358,6,526,168,527
27.7,359,6,527,168,528
27.8,360,6,528,168,529
27.9,361,6,528,167,529
28.0,362,6,529,167,530
28.1,363,6,530,167,531
28.3,364,6,530,166,531
28.4,365,6,532,167,533
28.6,366,6,534,168,535
28.7,367,6,535,168,536
28.8,368,6,535,167,536
29.0,369,6,536,167,537
29.1,370,6,536,166,537
29.5,371,6,538,167,539
29.9,372,6,539,167,540
30.2,373,6,539,166,540
30.6,374,6,539,165,540
31.0,375,6,539,164,540
31.5,376,6,539,163,540
31.9,377,6,540,163,541
32.3,378,6,542,164,543
32.7,379,6,544,165,545
