Time,Step,Path Length,Visited,In Queue,Total Poses
0.0,1,0,1,0,2
0.0,2,1,9,7,10
0.0,3,1,16,13,17
0.0,4,1,24,20,25
0.0,5,1,31,26,32
0.0,6,1,34,28,35
0.0,7,1,37,30,38
0.0,8,1,44,36,45
0.0,9,1,51,42,52
0.0,10,2,58,48,59
0.0,11,2,66,55,67
0.0,12,2,73,61,74
0.0,13,2,79,66,80
0.0,14,2,82,68,83
0.0,15,2,85,70,86
0.0,16,2,92,76,93
0.0,17,2,97,80,98
0.0,18,2,100,82,101
0.0,19,2,107,88,108
0.0,20,2,113,93,114
0.0,21,2,116,95,117
0.0,22,2,119,97,120
0.0,23,2,124,101,125
0.0,24,2,124,100,125
0.0,25,2,129,104,130
0.0,26,2,132,106,133
0.0,27,2,139,112,140
0.0,28,2,147,119,148
0.0,29,2,150,121,151
0.0,30,2,153,123,154
0.0,31,2,158,127,159
0.0,32,2,165,133,166
0.0,33,2,171,138,172
0.0,34,2,174,140,175
0.0,35,2,180,145,181
0.0,36,2,186,150,187
0.0,37,2,189,152,190
0.0,38,2,195,157,196
0.0,39,2,200,161,201
0.0,40,2,203,163,204
0.0,41,2,206,165,207
0.0,42,2,209,167,210
0.1,43,2,215,172,216
0.1,44,2,222,178,223
0.1,45,2,228,183,229
0.1,46,2,231,185,232
0.1,47,2,234,187,235
0.1,48,2,237,189,238
0.1,49,2,240,191,241
0.1,50,2,243,193,244
0.1,51,2,250,199,251
0.1,52,2,256,204,257
0.1,53,2,259,206,260
0.1,54,2,264,210,265
0.1,55,2,267,212,268
0.1,56,2,270,214,271
0.1,57,2,273,216,274
0.1,58,2,280,222,281
0.1,59,3,286,227,287
0.1,60,3,293,233,294
0.1,61,3,300,239,301
0.1,62,3,306,244,307
0.1,63,3,309,246,310
0.1,64,3,312,248,313
0.1,65,3,319,254,320
0.1,66,3,326,260,327
0.1,67,3,332,265,333
0.1,68,3,335,267,336
0.1,69,3,343,274,344
0.1,70,3,349,279,350
0.1,71,3,352,281,353
0.1,72,3,355,283,356
0.1,73,3,360,287,361
0.1,74,3,365,291,366
0.1,75,3,368,293,369
0.1,76,3,373,297,374
0.1,77,3,380,303,381
0.1,78,3,383,305,384
0.1,79,3,390,311,391
0.1,80,3,397,317,398
0.1,81,3,404,323,405
0.1,82,3,407,325,408
0.1,83,3,412,329,413
0.1,84,3,418,334,419
0.1,85,3,421,336,422
0.1,86,3,426,340,427
0.1,87,3,433,346,434
0.1,88,3,436,348,437
0.1,89,3,439,350,440
0.2,90,3,442,352,443
0.2,91,3,447,356,448
0.2,92,3,454,362,455
0.2,93,3,460,367,461
0.2,94,3,463,369,464
0.2,95,3,468,373,469
0.2,96,3,471,375,472
0.2,97,3,476,379,477
0.2,98,3,481,383,482
0.2,99,3,489,390,490
0.2,100,3,492,392,493
0.2,101,3,499,398,500
0.2,102,3,502,400,503
0.2,103,3,509,406,510
0.2,104,3,514,410,515
0.2,105,3,517,412,518
0.2,106,3,520,414,521
0.2,107,3,526,419,527
0.2,108,3,532,424,533
0.2,109,3,535,426,536
0.2,110,3,541,431,542
0.2,111,3,549,438,550
0.2,112,3,552,440,553
0.2,113,3,559,446,560
0.2,114,3,566,452,567
0.2,115,3,571,456,572
0.2,116,3,574,458,575
0.2,117,3,579,462,580
0.2,118,3,584,466,585
0.2,119,3,587,468,588
0.2,120,3,592,472,593
0.2,121,3,597,476,598
0.2,122,3,600,478,601
0.2,123,3,603,480,604
0.2,124,3,609,485,610
0.2,125,3,614,489,615
0.2,126,3,617,491,618
0.2,127,3,622,495,623
0.2,128,3,625,497,626
0.2,129,3,630,501,631
0.2,130,3,636,506,637
0.3,131,3,640,509,641
0.3,132,3,643,511,644
0.3,133,3,650,517,651
0.3,134,3,653,519,654
0.3,135,3,661,526,662
0.3,136,3,667,531,668
0.3,137,3,670,533,671
0.3,138,3,673,535,674
0.3,139,3,678,539,679
0.3,140,3,683,543,684
0.3,141,3,686,545,687
0.3,142,3,693,551,694
0.3,143,3,700,557,701
0.3,144,3,703,559,704
0.3,145,3,706,561,707
0.3,146,3,709,563,710
0.3,147,3,716,569,717
0.3,148,3,718,570,719
0.3,149,3,719,570,720
0.3,150,3,722,572,723
0.3,151,3,727,576,728
0.3,152,3,734,582,735
0.3,153,3,737,584,738
0.3,154,3,738,584,739
0.3,155,3,742,587,743
0.3,156,3,745,589,746
0.3,157,3,748,591,749
0.3,158,3,753,595,754
0.3,159,3,758,599,759
0.3,160,3,761,601,762
0.3,161,3,768,607,769
0.3,162,3,771,609,772
0.3,163,3,774,611,775
0.3,164,3,777,613,778
0.3,165,3,784,619,785
0.3,166,3,786,620,787
0.3,167,3,794,627,795
0.3,168,3,800,632,801
0.3,169,3,803,634,804
0.3,170,3,804,634,805
0.3,171,3,806,635,807
0.3,172,3,809,637,810
0.4,173,3,815,642,816
0.4,174,3,818,644,819
0.4,175,3,819,644,820
0.4,176,3,825,649,826
0.4,177,3,828,651,829
0.4,178,3,829,651,830
0.4,179,3,832,653,833
0.4,180,3,838,658,839
0.4,181,3,841,660,842
0.4,182,3,847,665,848
0.4,183,3,855,672,856
0.4,184,3,856,672,857
0.4,185,3,857,672,858
0.4,186,3,860,674,861
0.4,187,3,862,675,863
0.4,188,3,868,680,869
0.4,189,3,868,679,869
0.4,190,3,869,679,870
0.4,191,3,875,684,876
0.4,192,3,876,684,877
0.4,193,3,877,684,878
0.4,194,3,880,686,881
0.4,195,3,886,691,887
0.4,196,3,889,693,890
0.4,197,3,896,699,897
0.4,198,3,902,704,903
0.4,199,3,902,703,903
0.4,200,3,906,706,907
0.4,201,3,911,710,912
0.4,202,3,915,713,916
0.4,203,3,918,715,919
0.4,204,3,925,721,926
0.4,205,3,930,725,931
0.4,206,3,930,724,931
0.4,207,3,931,724,932
0.4,208,3,932,724,933
0.4,209,3,932,723,933
0.4,210,3,937,727,938
0.4,211,3,942,731,943
0.4,212,3,948,736,949
0.4,213,3,948,735,949
0.5,214,3,952,738,953
0.5,215,3,957,742,958
0.5,216,3,963,747,964
0.5,217,3,966,749,967
0.5,218,3,969,751,970
0.5,219,3,972,753,973
0.5,220,3,975,755,976
0.5,221,3,978,757,979
0.5,222,3,986,764,987
0.5,223,3,992,769,993
0.5,224,3,998,774,999
0.5,225,3,1002,777,1003
0.5,226,3,1005,779,1006
0.5,227,3,1008,781,1009
0.5,228,3,1013,785,1014
0.5,229,3,1019,790,1020
0.5,230,3,1027,797,1028
0.5,231,3,1030,799,1031
0.5,232,3,1037,805,1038
0.5,233,3,1045,812,1046
0.5,234,3,1048,814,1049
0.5,235,3,1055,820,1056
0.5,236,3,1060,824,1061
0.5,237,3,1063,826,1064
0.5,238,3,1068,830,1069
0.5,239,3,1073,834,1074
0.5,240,3,1076,836,1077
0.5,241,3,1081,840,1082
0.5,242,3,1086,844,1087
0.5,243,3,1089,846,1090
0.5,244,3,1095,851,1096
0.5,245,3,1098,853,1099
0.5,246,3,1101,855,1102
0.5,247,3,1104,857,1105
0.5,248,3,1107,859,1108
0.5,249,3,1110,861,1111
0.5,250,3,1117,867,1118
0.5,251,3,1122,871,1123
0.5,252,3,1128,876,1129
0.6,253,3,1133,880,1134
0.6,254,3,1136,882,1137
0.6,255,3,1139,884,1140
0.6,256,3,1145,889,1146
0.6,257,3,1151,894,1152
0.6,258,3,1155,897,1156
0.6,259,3,1158,899,1159
0.6,260,3,1162,902,1163
0.6,261,3,1168,907,1169
0.6,262,3,1170,908,1171
0.6,263,3,1170,907,1171
0.6,264,3,1175,911,1176
0.6,265,3,1179,914,1180
0.6,266,3,1180,914,1181
0.6,267,3,1180,913,1181
0.6,268,3,1181,913,1182
0.6,269,3,1182,913,1183
0.6,270,3,1182,912,1183
0.6,271,3,1183,912,1184
0.6,272,3,1187,915,1188
0.6,273,3,1190,917,1191
0.6,274,3,1194,920,1195
0.6,275,3,1197,922,1198
0.6,276,3,1200,924,1201
0.6,277,3,1203,926,1204
0.6,278,3,1206,928,1207
0.6,279,3,1209,930,1210
0.6,280,3,1217,937,1218
0.6,281,3,1223,942,1224
0.6,282,3,1229,947,1230
0.6,283,3,1231,948,1232
0.7,284,3,1231,947,1232
0.7,285,3,1234,949,1235
0.7,286,3,1239,953,1240
0.7,287,4,1243,956,1244
0.7,288,4,1246,958,1247
0.7,289,4,1253,964,1254
0.7,290,4,1259,969,1260
0.7,291,4,1259,968,1260
0.7,292,4,1262,970,1263
0.7,293,4,1265,972,1266
0.7,294,4,1272,978,1273
0.7,295,4,1278,983,1279
0.7,296,4,1285,989,1286
0.7,297,4,1290,993,1291
0.7,298,4,1293,995,1294
0.7,299,4,1296,997,1297
0.7,300,4,1301,1001,1302
0.7,301,4,1307,1006,1308
0.7,302,4,1310,1008,1311
0.7,303,4,1318,1015,1319
0.7,304,4,1324,1020,1325
0.7,305,4,1327,1022,1328
0.7,306,4,1333,1027,1334
0.7,307,4,1338,1031,1339
0.7,308,4,1340,1032,1341
0.7,309,4,1340,1031,1341
0.7,310,4,1343,1033,1344
0.7,311,4,1348,1037,1349
0.7,312,4,1351,1039,1352
0.7,313,4,1355,1042,1356
0.8,314,4,1358,1044,1359
0.8,315,4,1361,1046,1362
0.8,316,4,1361,1045,1362
0.8,317,4,1364,1047,1365
0.8,318,4,1368,1050,1369
0.8,319,4,1376,1057,1377
0.8,320,4,1376,1056,1377
0.8,321,4,1381,1060,1382
0.8,322,4,1384,1062,1385
0.8,323,4,1387,1064,1388
0.8,324,4,1390,1066,1391
0.8,325,4,1396,1071,1397
0.8,326,4,1402,1076,1403
0.8,327,4,1408,1081,1409
0.8,328,4,1411,1083,1412
0.8,329,4,1412,1083,1413
0.8,330,4,1412,1082,1413
0.8,331,4,1412,1081,1413
0.8,332,4,1415,1083,1416
0.8,333,4,1416,1083,1417
0.8,334,4,1423,1089,1424
0.8,335,4,1426,1091,1427
0.8,336,4,1434,1098,1435
0.8,337,4,1441,1104,1442
0.8,338,4,1448,1110,1449
0.8,339,4,1455,1116,1456
0.8,340,4,1458,1118,1459
0.8,341,4,1461,1120,1462
0.8,342,4,1467,1125,1468
0.8,343,4,1474,1131,1475
0.8,344,4,1480,1136,1481
0.8,345,4,1488,1143,1489
0.8,346,4,1493,1147,1494
0.8,347,4,1500,1153,1501
0.8,348,4,1503,1155,1504
0.8,349,4,1509,1160,1510
0.8,350,4,1517,1167,1518
0.9,351,4,1525,1174,1526
0.9,352,4,1528,1176,1529
0.9,353,4,1535,1182,1536
0.9,354,4,1543,1189,1544
0.9,355,4,1546,1191,1547
0.9,356,4,1553,1197,1554
0.9,357,4,1559,1202,1560
0.9,358,4,1562,1204,1563
0.9,359,4,1565,1206,1566
0.9,360,4,1571,1211,1572
0.9,361,4,1577,1216,1578
0.9,362,4,1580,1218,1581
0.9,363,4,1586,1223,1587
0.9,364,4,1589,1225,1590
0.9,365,4,1595,1230,1596
0.9,366,4,1601,1235,1602
0.9,367,4,1606,1239,1607
0.9,368,4,1609,1241,1610
0.9,369,4,1614,1245,1615
0.9,370,4,1617,1247,1618
0.9,371,4,1622,1251,1623
0.9,372,4,1627,1255,1628
0.9,373,4,1630,1257,1631
0.9,374,4,1635,1261,1636
0.9,375,4,1636,1261,1637
0.9,376,4,1643,1267,1644
0.9,377,4,1648,1271,1649
0.9,378,4,1648,1270,1649
0.9,379,4,1649,1270,1650
0.9,380,4,1654,1274,1655
0.9,381,4,1656,1275,1657
0.9,382,4,1659,1277,1660
0.9,383,4,1660,1277,1661
0.9,384,4,1662,1278,1663
0.9,385,4,1665,1280,1666
0.9,386,4,1668,1282,1669
0.9,387,4,1671,1284,1672
1.0,388,4,1674,1286,1675
1.0,389,4,1680,1291,1681
1.0,390,4,1686,1296,1687
1.0,391,4,1692,1301,1693
1.0,392,4,1693,1301,1694
1.0,393,4,1696,1303,1697
1.0,394,4,1696,1302,1697
1.0,395,4,1697,1302,1698
1.0,396,4,1697,1301,1698
1.0,397,4,1705,1308,1706
1.0,398,4,1708,1310,1709
1.0,399,4,1711,1312,1712
1.0,400,4,1719,1319,1720
1.0,401,4,1722,1321,1723
1.0,402,4,1722,1320,1723
1.0,403,4,1722,1319,1723
1.0,404,4,1724,1320,1725
1.0,405,4,1729,1324,1730
1.0,406,4,1731,1325,1732
1.0,407,4,1731,1324,1732
1.0,408,4,1733,1325,1734
1.0,409,4,1738,1329,1739
1.0,410,4,1738,1328,1739
1.0,411,4,1743,1332,1744
1.0,412,4,1749,1337,1750
1.0,413,4,1752,1339,1753
1.0,414,4,1760,1346,1761
1.0,415,4,1763,1348,1764
1.1,416,4,1763,1347,1764
1.1,417,4,1763,1346,1764
1.1,418,4,1763,1345,1764
1.1,419,4,1764,1345,1765
1.1,420,4,1765,1345,1766
1.1,421,4,1765,1344,1766
1.1,422,4,1765,1343,1766
1.1,423,4,1769,1346,1770
1.1,424,4,1769,1345,1770
1.1,425,4,1769,1344,1770
1.1,426,4,1775,1349,1776
1.1,427,4,1780,1353,1781
1.1,428,4,1783,1355,1784
1.1,429,4,1789,1360,1790
1.1,430,4,1792,1362,1793
1.1,431,4,1792,1361,1793
1.1,432,4,1793,1361,1794
1.1,433,4,1795,1362,1796
1.1,434,4,1801,1367,1802
1.1,435,4,1806,1371,1807
1.1,436,4,1809,1373,1810
1.1,437,4,1814,1377,1815
1.1,438,4,1816,1378,1817
1.1,439,4,1816,1377,1817
1.2,440,4,1818,1378,1819
1.2,441,4,1820,1379,1821
1.2,442,4,1820,1378,1821
1.2,443,4,1824,1381,1825
1.2,444,4,1827,1383,1828
1.2,445,4,1827,1382,1828
1.2,446,4,1830,1384,1831
1.2,447,4,1837,1390,1838
1.2,448,4,1842,1394,1843
1.2,449,4,1849,1400,1850
1.2,450,4,1856,1406,1857
1.2,451,4,1859,1408,1860
1.2,452,4,1862,1410,1863
1.2,453,4,1865,1412,1866
1.2,454,4,1872,1418,1873
1.2,455,4,1878,1423,1879
1.2,456,4,1881,1425,1882
1.2,457,4,1882,1425,1883
1.2,458,4,1882,1424,1883
1.2,459,4,1882,1423,1883
1.2,460,4,1885,1425,1886
1.2,461,4,1886,1425,1887
1.2,462,4,1891,1429,1892
1.2,463,4,1894,1431,1895
1.2,464,4,1898,1434,1899
1.2,465,4,1904,1439,1905
1.2,466,4,1906,1440,1907
1.2,467,4,1906,1439,1907
1.2,468,4,1911,1443,1912
1.3,469,4,1913,1444,1914
1.3,470,4,1914,1444,1915
1.3,471,4,1914,1443,1915
1.3,472,4,1916,1444,1917
1.3,473,4,1923,1450,1924
1.3,474,4,1930,1456,1931
1.3,475,4,1933,1458,1934
1.3,476,4,1938,1462,1939
1.3,477,4,1943,1466,1944
1.3,478,4,1945,1467,1946
1.3,479,4,1945,1466,1946
1.3,480,4,1946,1466,1947
1.3,481,4,1953,1472,1954
1.3,482,4,1956,1474,1957
1.3,483,4,1958,1475,1959
1.3,484,4,1965,1481,1966
1.3,485,4,1965,1480,1966
1.3,486,4,1965,1479,1966
1.3,487,4,1965,1478,1966
1.3,488,4,1966,1478,1967
1.3,489,4,1973,1484,1974
1.3,490,4,1973,1483,1974
1.3,491,4,1973,1482,1974
1.3,492,4,1973,1481,1974
1.3,493,4,1976,1483,1977
1.3,494,4,1977,1483,1978
1.3,495,4,1977,1482,1978
1.3,496,4,1977,1481,1978
1.3,497,4,1977,1480,1978
1.4,498,4,1978,1480,1979
1.4,499,4,1985,1486,1986
1.4,500,4,1985,1485,1986
1.4,501,4,1993,1492,1994
1.4,502,4,1996,1494,1997
1.4,503,4,2003,1500,2004
1.4,504,4,2006,1502,2007
1.4,505,4,2013,1508,2014
1.4,506,4,2018,1512,2019
1.4,507,4,2021,1514,2022
1.4,508,4,2024,1516,2025
1.4,509,4,2029,1520,2030
1.4,510,4,2034,1524,2035
1.4,511,4,2037,1526,2038
1.4,512,4,2042,1530,2043
1.4,513,4,2050,1537,2051
1.4,514,4,2053,1539,2054
1.4,515,4,2060,1545,2061
1.4,516,4,2065,1549,2066
1.4,517,4,2068,1551,2069
1.4,518,4,2073,1555,2074
1.4,519,4,2078,1559,2079
1.4,520,4,2081,1561,2082
1.4,521,4,2086,1565,2087
1.4,522,4,2091,1569,2092
1.4,523,4,2094,1571,2095
1.4,524,4,2097,1573,2098
1.4,525,4,2103,1578,2104
1.4,526,4,2110,1584,2111
1.4,527,4,2116,1589,2117
1.4,528,4,2119,1591,2120
1.4,529,4,2124,1595,2125
1.5,530,4,2127,1597,2128
1.5,531,4,2133,1602,2134
1.5,532,4,2140,1608,2141
1.5,533,4,2146,1613,2147
1.5,534,4,2149,1615,2150
1.5,535,4,2152,1617,2153
1.5,536,4,2157,1621,2158
1.5,537,4,2160,1623,2161
1.5,538,4,2168,1630,2169
1.5,539,4,2174,1635,2175
1.5,540,4,2177,1637,2178
1.5,541,4,2183,1642,2184
1.5,542,4,2188,1646,2189
1.5,543,4,2190,1647,2191
1.5,544,4,2197,1653,2198
1.5,545,4,2201,1656,2202
1.5,546,4,2203,1657,2204
1.5,547,4,2205,1658,2206
1.5,548,4,2205,1657,2206
1.5,549,4,2212,1663,2213
1.5,550,4,2212,1662,2213
1.5,551,4,2214,1663,2215
1.5,552,4,2216,1664,2217
1.5,553,4,2216,1663,2217
1.5,554,4,2219,1665,2220
1.5,555,4,2222,1667,2223
1.5,556,4,2225,1669,2226
1.6,557,4,2228,1671,2229
1.6,558,4,2234,1676,2235
1.6,559,4,2240,1681,2241
1.6,560,4,2244,1684,2245
1.6,561,4,2246,1685,2247
1.6,562,4,2249,1687,2250
1.6,563,4,2251,1688,2252
1.6,564,4,2253,1689,2254
1.6,565,4,2253,1688,2254
1.6,566,4,2260,1694,2261
1.6,567,4,2260,1693,2261
1.6,568,4,2264,1696,2265
1.6,569,4,2269,1700,2270
1.6,570,4,2271,1701,2272
1.6,571,4,2273,1702,2274
1.6,572,4,2274,1702,2275
1.6,573,4,2276,1703,2277
1.6,574,4,2279,1705,2280
1.6,575,4,2280,1705,2281
1.6,576,4,2283,1707,2284
1.6,577,4,2285,1708,2286
1.6,578,4,2288,1710,2289
1.7,579,4,2293,1714,2294
1.7,580,4,2294,1714,2295
1.7,581,4,2299,1718,2300
1.7,582,4,2303,1721,2304
1.7,583,4,2303,1720,2304
1.7,584,4,2304,1720,2305
1.7,585,4,2304,1719,2305
1.7,586,4,2306,1720,2307
1.7,587,4,2306,1719,2307
1.7,588,4,2306,1718,2307
1.7,589,4,2309,1720,2310
1.7,590,4,2309,1719,2310
1.7,591,4,2310,1719,2311
1.7,592,4,2315,1723,2316
1.7,593,4,2315,1722,2316
1.7,594,4,2318,1724,2319
1.7,595,4,2324,1729,2325
1.7,596,4,2324,1728,2325
1.7,597,4,2326,1729,2327
1.7,598,4,2329,1731,2330
1.7,599,4,2333,1734,2334
1.8,600,4,2336,1736,2337
1.8,601,4,2343,1742,2344
1.8,602,4,2347,1745,2348
1.8,603,4,2347,1744,2348
1.8,604,4,2348,1744,2349
1.8,605,4,2351,1746,2352
1.8,606,4,2357,1751,2358
1.8,607,4,2357,1750,2358
1.8,608,4,2360,1752,2361
1.8,609,4,2365,1756,2366
1.8,610,4,2369,1759,2370
1.8,611,4,2372,1761,2373
1.8,612,4,2378,1766,2379
1.8,613,4,2381,1768,2382
1.8,614,4,2384,1770,2385
1.8,615,4,2390,1775,2391
1.8,616,4,2393,1777,2394
1.8,617,4,2396,1779,2397
1.8,618,4,2400,1782,2401
1.8,619,4,2406,1787,2407
1.8,620,4,2408,1788,2409
1.8,621,4,2408,1787,2409
1.8,622,4,2411,1789,2412
1.8,623,4,2411,1788,2412
1.8,624,4,2412,1788,2413
1.8,625,4,2412,1787,2413
1.8,626,4,2412,1786,2413
1.8,627,4,2418,1791,2419
1.9,628,4,2421,1793,2422
1.9,629,4,2424,1795,2425
1.9,630,4,2430,1800,2431
1.9,631,4,2436,1805,2437
1.9,632,4,2442,1810,2443
1.9,633,4,2444,1811,2445
1.9,634,4,2444,1810,2445
1.9,635,4,2445,1810,2446
1.9,636,4,2450,1814,2451
1.9,637,4,2450,1813,2451
1.9,638,4,2453,1815,2454
1.9,639,4,2457,1818,2458
1.9,640,4,2457,1817,2458
1.9,641,4,2460,1819,2461
1.9,642,4,2461,1819,2462
1.9,643,4,2461,1818,2462
1.9,644,4,2462,1818,2463
1.9,645,4,2463,1818,2464
1.9,646,4,2463,1817,2464
1.9,647,4,2463,1816,2464
1.9,648,4,2463,1815,2464
1.9,649,4,2464,1815,2465
1.9,650,4,2472,1822,2473
1.9,651,4,2472,1821,2473
1.9,652,4,2476,1824,2477
1.9,653,4,2479,1826,2480
2.0,654,4,2487,1833,2488
2.0,655,4,2494,1839,2495
2.0,656,4,2501,1845,2502
2.0,657,4,2508,1851,2509
2.0,658,4,2511,1853,2512
2.0,659,4,2514,1855,2515
2.0,660,4,2520,1860,2521
2.0,661,4,2527,1866,2528
2.0,662,4,2533,1871,2534
2.0,663,4,2541,1878,2542
2.0,664,4,2546,1882,2547
2.0,665,4,2553,1888,2554
2.0,666,4,2556,1890,2557
2.0,667,4,2562,1895,2563
2.0,668,4,2566,1898,2567
2.0,669,4,2568,1899,2569
2.0,670,4,2571,1901,2572
2.0,671,4,2578,1907,2579
2.0,672,4,2586,1914,2587
2.0,673,4,2589,1916,2590
2.0,674,4,2591,1917,2592
2.0,675,4,2596,1921,2597
2.0,676,4,2599,1923,2600
2.0,677,4,2602,1925,2603
2.1,678,4,2608,1930,2609
2.1,679,4,2614,1935,2615
2.1,680,4,2617,1937,2618
2.1,681,4,2623,1942,2624
2.1,682,4,2626,1944,2627
2.1,683,4,2632,1949,2633
2.1,684,4,2635,1951,2636
2.1,685,4,2638,1953,2639
2.1,686,4,2641,1955,2642
2.1,687,4,2646,1959,2647
2.1,688,4,2649,1961,2650
2.1,689,4,2656,1967,2657
2.1,690,4,2663,1973,2664
2.1,691,4,2666,1975,2667
2.1,692,4,2669,1977,2670
2.1,693,4,2672,1979,2673
2.1,694,4,2674,1980,2675
2.1,695,4,2679,1984,2680
2.1,696,4,2686,1990,2687
2.1,697,4,2689,1992,2690
2.1,698,4,2692,1994,2693
2.1,699,4,2692,1993,2693
2.1,700,4,2699,1999,2700
2.2,701,4,2699,1998,2700
2.2,702,4,2699,1997,2700
2.2,703,4,2700,1997,2701
2.2,704,4,2704,2000,2705
2.2,705,4,2706,2001,2707
2.2,706,4,2706,2000,2707
2.2,707,4,2706,1999,2707
2.2,708,4,2709,2001,2710
2.2,709,4,2709,2000,2710
2.2,710,4,2712,2002,2713
2.2,711,4,2715,2004,2716
2.2,712,4,2720,2008,2721
2.2,713,4,2723,2010,2724
2.2,714,4,2726,2012,2727
2.2,715,4,2732,2017,2733
2.2,716,4,2738,2022,2739
2.2,717,4,2744,2027,2745
2.2,718,4,2747,2029,2748
2.2,719,4,2750,2031,2751
2.2,720,4,2752,2032,2753
2.3,721,4,2753,2032,2754
2.3,722,4,2753,2031,2754
2.3,723,4,2753,2030,2754
2.3,724,4,2757,2033,2758
2.3,725,4,2757,2032,2758
2.3,726,4,2762,2036,2763
2.3,727,4,2768,2041,2769
2.3,728,4,2768,2040,2769
2.3,729,4,2771,2042,2772
2.3,730,4,2779,2049,2780
2.3,731,4,2782,2051,2783
2.3,732,4,2782,2050,2783
2.3,733,4,2782,2049,2783
2.3,734,4,2787,2053,2788
2.3,735,4,2787,2052,2788
2.3,736,4,2789,2053,2790
2.4,737,4,2789,2052,2790
2.4,738,4,2789,2051,2790
2.4,739,4,2791,2052,2792
2.4,740,4,2795,2055,2796
2.4,741,4,2800,2059,2801
2.4,742,4,2800,2058,2801
2.4,743,4,2802,2059,2803
2.4,744,4,2807,2063,2808
2.4,745,4,2810,2065,2811
2.4,746,4,2815,2069,2816
2.4,747,4,2818,2071,2819
2.4,748,4,2818,2070,2819
2.4,749,4,2820,2071,2821
2.4,750,4,2823,2073,2824
2.4,751,4,2823,2072,2824
2.4,752,4,2826,2074,2827
2.4,753,4,2833,2080,2834
2.4,754,4,2836,2082,2837
2.4,755,4,2840,2085,2841
2.5,756,4,2847,2091,2848
2.5,757,4,2850,2093,2851
2.5,758,4,2853,2095,2854
2.5,759,4,2858,2099,2859
2.5,760,4,2861,2101,2862
2.5,761,4,2864,2103,2865
2.5,762,4,2868,2106,2869
2.5,763,4,2871,2108,2872
2.5,764,4,2877,2113,2878
2.5,765,4,2879,2114,2880
2.5,766,4,2880,2114,2881
2.5,767,4,2880,2113,2881
2.5,768,4,2886,2118,2887
2.5,769,4,2886,2117,2887
2.5,770,4,2886,2116,2887
2.5,771,4,2886,2115,2887
2.5,772,4,2887,2115,2888
2.5,773,4,2888,2115,2889
2.5,774,4,2888,2114,2889
2.5,775,4,2888,2113,2889
2.5,776,4,2891,2115,2892
2.5,777,4,2891,2114,2892
2.5,778,4,2894,2116,2895
2.5,779,4,2901,2122,2902
2.6,780,4,2908,2128,2909
2.6,781,4,2911,2130,2912
2.6,782,4,2914,2132,2915
2.6,783,4,2917,2134,2918
2.6,784,4,2924,2140,2925
2.6,785,4,2926,2141,2927
2.6,786,4,2929,2143,2930
2.6,787,4,2933,2146,2934
2.6,788,4,2936,2148,2937
2.6,789,4,2943,2154,2944
2.6,790,4,2948,2158,2949
2.6,791,4,2948,2157,2949
2.6,792,4,2949,2157,2950
2.6,793,4,2949,2156,2950
2.6,794,4,2949,2155,2950
2.6,795,4,2956,2161,2957
2.6,796,4,2959,2163,2960
2.6,797,4,2965,2168,2966
2.6,798,4,2968,2170,2969
2.6,799,4,2969,2170,2970
2.6,800,4,2972,2172,2973
2.7,801,4,2975,2174,2976
2.7,802,4,2976,2174,2977
2.7,803,4,2977,2174,2978
2.7,804,4,2977,2173,2978
2.7,805,4,2978,2173,2979
2.7,806,4,2979,2173,2980
2.7,807,4,2981,2174,2982
2.7,808,4,2984,2176,2985
2.7,809,4,2985,2176,2986
