Time,Step,Path Length,Visited,In Queue,Total Poses
0.0,1,0,2,0,2
0.0,2,1,3,7,10
0.0,3,1,4,14,18
0.0,4,1,5,21,26
0.0,5,1,6,28,34
0.0,6,1,7,35,42
0.0,7,1,8,42,50
0.0,8,1,9,49,58
0.0,9,1,10,56,66
0.0,10,2,11,63,74
0.0,11,2,12,70,82
0.0,12,2,13,77,90
0.0,13,2,14,84,98
0.0,14,2,15,91,106
0.0,15,2,16,98,114
0.0,16,2,17,105,122
0.0,17,2,18,112,130
0.0,18,2,19,119,138
0.0,19,2,20,126,146
0.0,20,2,21,133,154
0.0,21,2,22,140,162
0.0,22,2,23,147,170
0.0,23,2,24,154,178
0.0,24,2,25,161,186
0.0,25,2,26,168,194
0.0,26,2,27,175,202
0.0,27,2,28,182,210
0.0,28,2,29,189,218
0.0,29,2,30,196,226
0.0,30,2,31,203,234
0.0,31,2,32,210,242
0.0,32,2,33,217,250
0.0,33,2,34,224,258
0.0,34,2,35,231,266
0.1,35,2,36,238,274
0.1,36,2,37,245,282
0.1,37,2,38,252,290
0.1,38,2,39,259,298
0.1,39,2,40,266,306
0.1,40,2,41,273,314
0.1,41,2,42,280,322
0.1,42,2,43,287,330
0.1,43,2,44,294,338
0.1,44,2,45,301,346
0.1,45,2,46,308,354
0.1,46,2,47,315,362
0.1,47,2,48,322,370
0.1,48,2,49,329,378
0.1,49,2,50,336,386
0.1,50,2,51,343,394
0.1,51,2,52,350,402
0.1,52,2,53,357,410
0.1,53,2,54,364,418
0.1,54,2,55,371,426
0.1,55,2,56,378,434
0.1,56,2,57,385,442
0.1,57,2,58,392,450
0.1,58,2,59,399,458
0.1,59,2,60,406,466
0.1,60,2,61,413,474
0.1,61,2,62,420,482
0.1,62,2,63,427,490
0.1,63,2,64,434,498
0.1,64,2,65,441,506
0.1,65,2,66,448,514
0.1,66,2,67,455,522
0.1,67,2,68,462,530
0.1,68,2,69,469,538
0.1,69,2,70,476,546
0.1,70,2,71,483,554
0.1,71,2,72,490,562
0.1,72,2,73,497,570
0.1,73,2,74,504,578
0.1,74,3,75,511,586
0.2,75,3,76,518,594
