Time,Step,Path Length,Visited,In Queue,Total Poses
0.0,1,0,0,0,2
0.0,2,1,8,7,10
0.0,3,2,15,13,17
0.0,4,3,22,19,24
0.0,5,4,29,25,31
0.0,6,4,37,32,39
0.0,7,5,45,39,47
0.0,8,5,52,45,54
0.0,9,6,59,51,61
0.0,10,6,64,55,66
0.0,11,3,71,61,73
0.0,12,4,78,67,80
0.0,13,5,83,71,85
0.0,14,5,91,78,93
0.0,15,6,97,83,99
0.0,16,6,102,87,104
0.0,17,7,108,92,110
0.0,18,7,113,96,115
0.0,19,4,118,100,120
0.0,20,7,121,102,123
0.0,21,8,127,107,129
0.0,22,7,132,111,134
0.0,23,5,139,117,141
0.0,24,5,146,123,148
0.0,25,8,153,129,155
0.0,26,4,160,135,162
0.0,27,5,168,142,170
0.0,28,6,175,148,177
0.0,29,6,182,154,184
0.0,30,7,188,159,190
0.0,31,7,193,163,195
0.0,32,8,199,168,201
0.0,33,6,205,173,207
0.0,34,5,212,179,214
0.0,35,6,219,185,221
0.0,36,7,224,189,226
0.0,37,7,231,195,233
0.0,38,8,235,198,237
0.0,39,6,242,204,244
0.0,40,6,247,208,249
0.0,41,6,254,214,256
0.0,42,7,255,214,257
0.0,43,6,262,220,264
0.0,44,6,265,222,267
0.0,45,8,270,227,273
0.0,46,9,275,231,278
0.0,47,5,280,235,283
0.0,48,8,283,237,286
0.0,49,9,289,242,292
0.0,50,8,294,246,297
0.0,51,7,301,252,304
0.0,52,6,306,256,309
0.0,53,5,309,258,312
0.1,54,6,316,264,319
0.1,55,7,322,269,325
0.1,56,7,330,276,333
0.1,57,8,335,280,338
0.1,58,8,341,285,344
0.1,59,9,346,289,349
0.1,60,8,352,294,355
0.1,61,9,359,300,362
0.1,62,7,365,305,368
0.1,63,7,370,309,373
0.1,64,8,375,313,378
0.1,65,7,380,317,383
0.1,66,7,381,317,384
0.1,67,6,383,318,386
0.1,68,6,386,320,389
0.1,69,7,393,326,396
0.1,70,8,397,329,400
0.1,71,5,401,332,404
0.1,72,7,408,338,411
0.1,73,7,414,343,417
0.1,74,6,416,344,419
0.1,75,8,423,350,426
0.1,76,8,428,354,431
0.1,77,7,434,359,437
0.1,78,2,441,365,444
0.1,79,3,448,371,451
0.1,80,4,455,377,458
0.1,81,5,462,383,465
0.1,82,5,470,390,473
0.1,83,6,477,396,480
0.1,84,6,483,401,486
0.1,85,7,491,408,494
0.1,86,7,497,413,500
0.1,87,8,504,419,507
0.1,88,8,511,425,514
0.1,89,6,519,432,522
0.1,90,6,526,438,529
0.1,91,9,529,440,532
0.1,92,9,534,444,537
0.1,93,10,541,450,544
0.1,94,9,546,454,549
0.1,95,9,550,457,553
0.1,96,10,555,461,558
0.1,97,6,560,465,563
0.1,98,7,567,471,570
0.1,99,7,575,478,578
0.1,100,8,578,480,581
0.1,101,9,586,487,589
0.1,102,9,593,493,596
0.1,103,9,600,499,603
0.1,104,10,605,503,608
0.1,105,4,611,508,614
0.1,106,5,618,514,621
0.1,107,6,625,520,628
0.1,108,6,632,526,635
0.1,109,7,639,532,642
0.1,110,7,646,538,649
0.1,111,8,653,544,656
0.1,112,9,658,548,661
0.1,113,8,665,554,668
0.1,114,6,666,554,669
0.1,115,8,673,560,676
0.1,116,8,678,564,681
0.1,117,7,682,567,685
0.1,118,7,685,569,688
0.1,119,7,688,571,691
0.1,120,7,694,576,697
